genero,nome,data_nascimento,gasto_total_gab,gasto_jan_gab,gasto_fev_gab,gasto_mar_gab,gasto_abr_gab,gasto_maio_gab,gasto_junho_gab,gasto_jul_gab,gasto_agosto_gab,gasto_set_gab,gasto_out_gab,gasto_nov_gab,gasto_dez_gab,gasto_total_par,gasto_jan_par,gasto_fev_par,gasto_mar_par,gasto_abr_par,gasto_maio_par,gasto_junho_par,gasto_jul_par,gasto_agosto_par,gasto_set_par,gasto_out_par,gasto_nov_par,gasto_dez_par,presenca_plenario,ausencia_plenario,ausencia_justificada_plenario,presenca_comissao,ausencia_comissao,ausencia_justificada_comissao,salario_bruto
feminino,CHRISTINE NOGUEIRA DOS REIS TONIETTO,1991-05-14,133178.31,11369.6,10173.11,9970.3,13872.46,12050.51,19466.91,25628.43,11169.95,3255.31,15855.62,366.11,,789351.1299999999,69040.75,69101.84,69101.84,71632.9,76266.55,85504.27,88597.5,88597.5,88597.5,82910.48,,,88,4,2,59,10,6,33763.0
feminino,VANDA DENIR MILANI NOGUEIRA,1953-09-17,395931.24,45066.55,49027.62,29462.19,36127.46,71009.98,22618.07,41106.51,44816.37,25900.0,30796.49,0.0,,1103843.6300000001,109028.91,110980.61,111507.9,109468.16,111544.28,110383.9,111280.73,111580.69,111580.69,106487.76,,,72,20,7,31,33,22,33763.0
feminino,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,1982-07-02,297350.01,7971.69,16907.3,54747.61,49861.8,57969.92,53352.84,20869.99,15804.77,9631.78,10118.65,113.66,,1112908.0699999998,110918.38,110319.03,110945.19,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,111532.21,,,86,6,6,37,14,14,33763.0
feminino,DANIELA MOTE DE SOUZA CARNEIRO,1976-02-10,309318.38,35968.58,36604.61,48540.64,61049.56,50236.04,27308.97,20808.56,13155.35,11253.04,4366.75,26.28,,1097670.8499999999,111004.43,110578.75,110970.4,111234.95,111234.95,111234.95,111234.95,110155.05,109870.15,100152.27,,,80,12,2,42,18,9,33763.0
feminino,SORAYA DE SOUZA MANNATO,1961-03-10,289649.17,31353.75,37397.79,57239.48,36607.77,43635.09,15176.75,23098.74,18128.98,8706.64,18304.18,0.0,,1100822.25,111501.77,111501.77,110559.03,110173.36,110920.06,110221.1,107709.88,107907.12,109518.27,110809.89,,,92,0,0,111,64,64,33763.0
feminino,CHRISTIANE DE SOUZA YARED,1960-02-23,330395.3499999999,23957.3,44324.43,35762.57,54189.41,41149.82,32246.76,23122.06,18987.0,15446.67,40295.66,913.67,,1091077.2699999998,108772.44,108772.44,108772.44,108772.44,108366.22,104176.55,111586.94,111586.94,111586.94,108683.92,,,83,9,0,27,11,5,33763.0
feminino,CARLA ZAMBELLI SALGADO DE OLIVEIRA,1980-07-03,277181.24,35310.53,32694.44,29735.19,21729.23,51011.16,22816.95,21987.75,14571.57,14918.4,31400.35,1005.67,,1095690.52,111549.61,111299.27,110215.67,105302.52,108206.27,105657.79,108726.99,111400.84,111665.78,111665.78,,,79,13,1,10,17,12,33763.0
feminino,EDNACE ALVES SILVESTRE HENRIQUE,1958-09-04,245404.74999999997,21722.42,41564.86,44584.53,40428.22,32338.39,34109.42,30426.91,230.0,,,,,1109015.64,110222.29,107865.76,109797.12,111663.63,111512.59,111590.85,111590.85,111590.85,111590.85,111590.85,,,52,10,1,13,13,6,33763.0
feminino,DULCE FERREIRA PAGANI MIRANDA,1963-12-15,385152.19999999995,17405.28,54422.42,66007.2,43629.27,48597.93,16964.63,42936.18,44081.35,12900.31,38029.26,178.37,,1102626.1300000001,111515.73,108469.11,109947.21,108778.45,110497.62,110780.17,110780.17,110780.17,110297.33,110780.17,,,84,8,0,78,19,8,33763.0
feminino,RENATA HELLMEISTER DE ABREU,1982-04-15,208238.75999999998,31109.86,32113.25,42089.94,31671.65,42896.72,3728.86,22911.39,1717.09,,,,,1073067.29,96622.36,104075.25,110440.45,106841.6,108188.68,109718.62,106018.07,110109.96,110476.84,110575.46,,,48,14,0,5,28,18,33763.0
feminino,ROSIANE MODESTO  DE OLIVEIRA,1978-02-20,202187.66999999998,16532.25,28174.06,22572.8,28359.47,28108.83,26531.02,14867.91,6958.44,8464.46,18149.96,3468.47,,1056422.1,109718.66,110767.63,111653.67,111653.67,109880.49,109891.34,111617.27,97483.92,90265.59,93489.86,,,,,,,,,33763.0
feminino,SAMIA DE SOUZA BOMFIM,1989-08-22,320776.66000000003,29863.31,33173.07,52100.08,33373.57,49527.82,25800.86,31637.36,25034.27,10727.26,25539.06,4000.0,,1089070.53,101425.05,108439.14,108239.71,106353.47,110257.66,110871.1,110871.1,110871.1,110871.1,110871.1,,,78,14,0,32,3,3,33763.0
feminino,ROSANGELA DE SOUZA GOMES,1966-12-27,332169.1400000001,35619.36,53038.08,41099.12,30910.68,40356.2,24832.33,27594.88,28932.93,13329.32,36267.03,189.21,,1114958.7,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,111495.87,,,77,15,0,2,0,0,33763.0
feminino,ROSANA DE OLIVEIRA VALLE,1969-05-08,338573.46,21183.33,29131.46,53484.17,52840.25,41134.85,34551.95,41195.46,30834.9,20867.06,13125.31,224.72,,1050130.62,107098.26,107098.26,107098.26,107098.26,100284.96,91133.79,106579.32,107632.04,109901.08,106206.39,,,87,5,2,44,4,2,33763.0
feminino,SHÉRIDAN ESTÉRFANY OLIVEIRA RAMOS,1984-04-11,406013.67,47717.67,50310.81,47454.5,20489.75,41030.4,35713.64,41489.54,36464.07,37465.47,41866.9,6010.92,,1045548.64,104351.76,98699.47,100259.52,100363.57,99170.39,111192.45,104911.24,108772.24,109791.3,108036.7,,,53,39,4,0,3,3,33763.0
feminino,SILVIA CRISTINA AMANCIO CHAGAS,1974-01-15,326142.16000000003,38497.24,41381.49,41593.07,52095.78,77841.57,30489.93,21356.3,8189.34,4412.39,7253.38,3031.67,,1112657.25,111374.48,110870.15,110767.11,111370.23,111247.85,111259.6,111526.12,111514.99,111410.91,111315.81,,,89,3,1,55,36,31,33763.0
feminino,SORAYA ALENCAR DOS SANTOS,1958-12-04,247739.59999999998,30377.64,25882.69,44839.17,32605.66,18501.89,34461.17,25720.88,19262.46,5904.46,9654.69,528.89,,1088262.38,109912.12,110159.23,104418.43,104366.11,108917.92,108917.92,109011.86,110852.93,110852.93,110852.93,,,90,2,0,29,16,16,33763.0
feminino,TABATA CLAUDIA AMARAL DE PONTES,1993-11-14,290505.98,38950.69,27888.06,35331.21,32068.77,49942.23,49334.59,25146.0,5016.41,3300.08,22041.92,1486.02,,744732.36,90049.89,91799.32,91532.51,93743.68,102729.84,100032.77,52077.47,38232.71,30268.49,54265.68,,,88,4,3,137,9,9,33763.0
feminino,TEREZA CRISTINA CORREA DA COSTA DIAS,1954-07-06,153213.89,0.04,21629.55,17413.02,24574.99,29064.98,17058.41,14118.74,24831.46,4522.7,,,,682604.66,0.0,0.0,1279.5,71166.6,104538.87,108750.39,111222.82,102614.06,93234.05,89798.37,,,63,6,4,59,7,6,33763.0
feminino,TALIRIA PETRONE SOARES,1985-04-09,273733.18,35801.22,32189.96,31865.89,45403.28,29413.08,37323.98,24098.94,23355.39,10439.8,3279.24,562.4,,1114287.26,111647.51,111647.51,111647.51,111555.29,111584.31,111647.53,111647.53,110216.76,111417.0,111276.31,,,76,16,2,27,51,32,33763.0
feminino,VIVIANE DA COSTA REIS,1991-08-05,364896.7100000001,50505.11,33624.12,47121.22,42779.32,38398.45,36910.98,40803.83,27107.07,21698.14,25660.38,288.09,,1108885.8199999998,111413.83,111501.88,108988.28,109564.43,110684.14,111041.26,111423.0,111423.0,111423.0,111423.0,,,81,11,0,79,39,21,33763.0
feminino,LUIZA ERUNDINA DE SOUSA,1934-11-30,222485.05000000002,17316.28,17369.22,13312.38,23549.05,49196.58,41316.33,41450.36,18601.72,126.15,0.0,246.98,,984473.0800000002,106370.19,98801.78,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,96737.67,102137.42,,,78,14,0,37,23,14,33763.0
feminino,TEREZA NELMA DA SILVA PORTO VIANA SOARES,1957-10-07,366423.0699999999,42581.54,41297.61,47878.77,54271.73,56885.66,33460.03,30126.11,27479.91,24726.16,3330.45,4385.1,,1096693.18,111471.49,109973.66,109423.19,109733.42,109422.19,104705.24,109483.86,110785.88,110860.47,110833.78,,,79,13,0,103,85,36,33763.0
feminino,LUIZIANNE DE OLIVEIRA LINS,1968-11-18,394965.38,43009.21,49188.28,62832.39,40398.85,50556.05,27655.84,25583.94,56182.22,8648.41,30543.49,366.7,,1116014.4200000002,111647.55,111647.55,111647.55,111647.55,111647.55,111647.55,111532.28,111532.28,111532.28,111532.28,,,82,10,3,5,16,10,33763.0
feminino,FABIANA SILVA DE SOUZA,1980-01-09,253074.32,19669.14,45316.31,58832.43,30152.26,32781.41,27385.49,25479.97,6199.02,5005.38,1966.38,286.53,,1113455.24,111544.24,111438.52,111398.27,111315.37,111119.65,111039.6,111350.2,111350.2,111554.84,111344.35,,,76,16,5,22,4,0,33763.0
feminino,MAGDA MOFATTO HON,1948-10-26,248362.06,41429.43,31068.63,47136.54,47632.39,46414.73,19428.88,6001.17,8505.69,395.33,349.27,0.0,,1079760.3199999998,103642.03,111061.35,110458.33,109242.74,110160.73,111392.46,111429.23,111429.23,100201.81,100742.41,,,77,15,12,28,42,36,33763.0
feminino,MARIA DO ROSÁRIO NUNES,1966-11-22,390396.84,45949.2,43740.41,69986.28,49177.17,42746.98,41192.91,36138.61,26246.21,12312.33,20719.64,2187.1,,1090821.34,108772.35,108772.35,108876.06,111047.03,106150.54,107898.86,108449.48,109367.19,110743.74,110743.74,,,77,15,9,48,34,22,33763.0
feminino,MARGARETE DE CASTRO COELHO,1961-03-12,379382.14,45113.84,50976.4,52735.6,50764.85,28872.48,40798.7,35963.33,15107.77,13877.11,44057.01,1115.05,,1079379.9100000001,110943.91,108857.07,110120.74,99024.19,107482.1,108590.38,108590.38,108590.38,108590.38,108590.38,,,81,11,1,58,27,18,33763.0
feminino,CYLMARA FERNANDES DA ROCHA GRIPP,1973-09-04,431336.2,56886.05,57867.3,54199.26,62724.01,46657.4,33841.62,21007.85,23443.28,30345.94,44363.49,0.0,,1108625.39,110779.96,110779.96,110779.96,110779.96,110779.96,109894.35,110779.96,110983.86,111574.61,111492.81,,,77,15,1,30,22,16,33763.0
feminino,MARIA DO PARTO MENDES ROSAS,1965-10-01,187686.02,18825.99,31183.42,39925.5,29239.92,24673.76,27178.62,16458.81,200.0,,,,,1099115.1600000001,106936.54,107061.76,110238.71,111538.37,111538.37,109915.15,107599.1,111210.42,111538.37,111538.37,,,62,0,0,41,2,2,33763.0
feminino,MARÍLIA VALENÇA ROCHA ARRAES DE ALENCAR,1984-04-12,287696.14,13902.07,25170.41,93784.61,29683.86,54406.01,14216.62,21165.2,14176.43,9508.71,10398.31,1283.91,,1069269.96,108653.71,111429.12,111429.12,109087.1,107972.58,111617.16,110853.68,111354.04,98888.69,87984.76,,,64,28,7,3,10,5,33763.0
feminino,MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,1986-11-26,203702.63999999998,20869.22,24814.35,47199.17,40425.87,61996.18,1826.39,6249.12,322.34,,,,,1087643.97,110447.75,111310.98,111014.24,111416.94,111416.94,110963.22,109667.84,104478.85,105163.12,101764.09,,,53,8,4,14,10,6,33763.0
feminino,MARINA SANTOS BATISTA DIAS,1980-09-13,357545.02,23811.47,41587.12,38764.57,41760.61,35827.39,43099.71,38934.07,25951.64,26865.0,39929.24,1014.2,,1114463.33,111495.88,111495.88,111311.17,111495.87,111185.14,111495.87,111495.88,111495.88,111495.88,111495.88,,,90,2,0,6,13,12,33763.0
feminino,NATÁLIA BASTOS BONAVIDES,1988-06-15,339385.8,31946.09,31413.95,72688.49,54961.85,61905.75,41735.22,31051.52,7935.3,2706.85,2967.78,73.0,,1028961.4600000001,106600.62,90902.3,96132.21,102664.33,98979.97,99242.75,104019.87,107795.14,111410.75,111213.52,,,86,6,0,16,19,15,33763.0
feminino,NORMA AYUB ALVES,1959-09-07,283058.92,19354.87,22480.29,25213.93,34202.81,34648.47,33963.01,31584.22,23186.05,21829.52,33681.5,2914.25,,1086780.1,109263.62,109263.62,109371.25,108682.13,108282.54,109497.38,106962.54,107480.28,107282.54,110694.2,,,,,,,,,33763.0
feminino,PATRICIA LIMA FERRAZ,1980-01-09,61594.97,7370.23,52876.43,1348.31,,,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,10,0,0,0,0,0,33763.0
feminino,MARIA PERPÉTUA DE ALMEIDA,1964-12-28,397294.7199999999,40876.75,38531.07,65864.03,66620.97,53571.92,37080.29,43254.26,14245.86,16783.06,19979.66,486.85,,1103492.51,111465.58,106860.33,104769.12,111544.45,111544.45,111544.45,111499.84,111405.91,111429.19,111429.19,,,86,6,2,56,35,27,33763.0
feminino,PAULA MORENO PARO BELMONTE,1973-06-23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1035760.2599999999,105453.3,105634.73,105767.33,110422.17,109556.14,107546.98,94842.01,90556.61,98626.57,107354.42,,,87,5,3,62,33,27,33763.0
feminino,DAYANE JAMILLE CARNEIRO DOS SANTOS PIMENTEL,1986-01-30,221802.92,24757.35,14536.29,33354.13,32630.75,38636.18,25835.19,21096.42,20196.27,4322.45,6205.76,232.13,,1091268.51,103819.39,108270.5,109719.5,110069.34,110134.52,109472.23,110404.13,110404.13,110398.05,108576.72,,,67,25,8,24,29,16,33763.0
feminino,KATIA DA SILVA SASTRE,1976-04-04,373876.62999999995,34893.09,34694.24,64166.28,35385.2,36339.7,38923.8,34961.86,43018.05,29335.74,22064.62,94.05,,1056090.3600000003,107322.54,104138.84,105140.2,105895.02,105351.11,96070.39,98655.82,111265.29,111265.29,110985.86,,,91,1,1,38,19,19,33763.0
feminino,MARIA AUXILIADORA SEABRA REZENDE,1964-10-01,244204.17,20187.34,51058.21,42305.79,52041.49,47722.61,22610.88,8277.85,0.0,,,,,1033855.08,97131.95,97131.95,102063.65,104981.11,97310.99,99796.88,102973.35,109375.33,111544.35,111545.52,,,71,3,3,69,44,41,33763.0
feminino,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,1973-06-21,372925.42000000004,73518.31,24414.79,47486.37,49562.35,28947.17,39390.78,27825.99,17943.62,7350.58,50485.46,6000.0,,1113310.6199999999,111465.49,111400.5,110738.38,111378.13,111439.63,111111.26,111351.62,111476.44,111465.5,111483.67,,,91,1,1,34,7,7,33763.0
feminino,REJANE RIBEIRO SOUSA DIAS,1972-09-04,241957.13,16913.54,23065.31,34072.61,41316.06,35393.2,27658.11,30276.4,10634.6,10120.33,11597.34,909.63,,1022389.3799999999,94123.29,94123.29,94123.29,96640.01,103386.0,97900.48,110730.33,111077.25,111077.25,109208.19,,,90,2,2,65,33,33,33763.0
feminino,ROSA NEIDE SANDES DE ALMEIDA,1963-08-08,369889.42999999993,35689.04,50953.17,66922.03,36747.44,42534.13,32039.17,23335.58,18867.29,10899.48,31367.91,20534.19,,1099986.55,111574.65,110892.89,108386.56,109037.91,110196.13,109389.74,109971.9,109688.57,109645.72,111202.48,,,88,4,1,40,9,5,33763.0
feminino,ELIZA VIRGINIA DE SOUZA FERNANDES,1972-04-02,134550.51,5603.62,34615.41,16715.86,59255.5,18360.12,,,,,,,,0,0.0,0.0,0.0,0.0,,,,,,,,,16,1,1,8,3,3,33763.0
feminino,ÉRIKA JUCÁ KOKAY,1957-08-15,220065.03,21175.36,26961.36,57030.55,8623.76,69810.79,1267.02,375.92,393.19,354.58,33212.46,860.04,,1104968.2799999998,106905.18,108909.18,111417.57,111495.83,111623.02,111495.84,110449.2,109666.7,111532.23,111473.53,,,90,2,1,132,17,16,33763.0
feminino,ELCIONE THEREZINHA ZAHLUTH BARBALHO,1944-10-05,324749.25000000006,18282.77,21903.47,42172.9,54698.46,50424.42,44680.57,25428.51,30182.96,15955.03,18147.74,2872.42,,1090868.2200000002,109942.97,108266.63,106606.75,106963.42,110173.43,110012.89,110173.43,111342.81,111617.17,105768.72,,,74,18,10,11,18,15,33763.0
feminino,FERNANDA MELCHIONNA E SILVA,1984-02-02,305160.05000000005,20500.17,21194.89,56736.14,41442.21,70363.57,28035.03,34736.5,7126.13,2302.5,17867.64,4855.27,,1089686.5599999998,108969.03,110770.2,111295.57,111471.67,111471.67,111005.21,108790.95,108173.01,107268.84,100470.41,,,88,4,3,54,9,9,33763.0
feminino,FLÁVIA CAROLINA PÉRES,1980-01-21,97678.83,0.0,6864.73,10563.71,18634.34,15284.18,16185.53,14441.81,15704.53,0.0,,,,584981.5499999999,0.0,0.0,1906.24,70338.95,79195.45,81408.68,85648.32,88827.97,88827.97,88827.97,,,60,9,4,0,4,3,33763.0
feminino,FLÁVIA CARREIRO ALBUQUERQUE MORAIS,1969-04-26,296315.47,31961.04,33702.59,35431.93,33636.11,33829.17,29972.17,26739.93,26234.48,22945.49,21783.99,78.57,,1110232.7,110555.68,110555.68,110555.68,110555.68,111091.22,110994.42,111182.0,111580.78,111580.78,111580.78,,,86,6,0,123,4,0,33763.0
feminino,Geovânia de Sá,1972-03-30,308059.34,24548.31,31895.95,46155.4,48301.66,38575.18,41038.25,24556.46,10926.74,3937.68,25683.39,12440.32,,1099857.22,111111.81,111610.95,111659.69,111659.69,110768.99,110692.78,103468.98,111168.24,111168.24,106547.85,,,91,1,0,15,0,0,33763.0
feminino,GREYCE DE QUEIROZ ELIAS,1981-12-15,176814.93,14671.44,21074.8,23586.32,35221.54,45590.67,15599.72,12425.68,2786.62,2040.22,3377.12,440.8,,1068635.25,101294.97,95517.25,104632.97,104398.53,107931.21,110975.7,110129.51,110600.89,111580.83,111573.39,,,77,15,3,28,22,18,33763.0
feminino,GLEISI HELENA HOFFMANN,1965-09-06,373767.13999999996,48759.04,47652.4,59416.08,55375.62,43129.42,20852.42,26211.68,23293.93,17899.82,29734.54,1442.19,,1115264.2000000002,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,111526.42,,,66,26,0,3,5,4,33763.0
feminino,IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA,1966-04-23,160103.58,33126.14,37905.45,54717.25,-799.73,17561.17,8098.8,9441.57,52.93,,,,,1112345.6300000001,111653.55,110382.33,111176.32,111235.02,111235.02,111235.02,111235.02,111235.02,111304.78,111653.55,,,35,4,0,0,0,0,33763.0
feminino,JANDIRA FEGHALI,1957-05-17,304962.13,16677.6,41606.05,42043.96,41561.42,33766.08,35266.15,30544.63,18967.72,23146.67,20529.15,852.7,,1091025.08,111186.43,110346.75,110883.15,110883.15,110883.15,110883.15,106843.71,109640.24,105683.13,103792.22,,,91,1,1,41,28,28,33763.0
feminino,DIRLAINE JAQUELINE CASSOL,1974-12-03,301704.5899999999,38881.19,35836.11,33841.17,57249.08,71115.17,20997.72,21444.7,11534.22,2240.92,7424.0,1140.31,,1101655.82,111665.59,111362.29,107986.55,110884.32,111208.12,110180.25,108177.15,110472.02,111321.85,108397.68,,,81,11,3,47,23,15,33763.0
feminino,JESSICA ROJAS SALES,1980-11-28,372946.86,36557.22,42553.73,47072.55,56770.07,58428.19,3133.62,11486.12,8024.13,2921.23,106000.0,0.0,,1115845.9500000002,111568.56,111568.56,111568.56,111568.56,111568.56,111568.56,111568.56,111571.11,111647.46,111647.46,,,42,50,5,0,18,2,33763.0
feminino,JOICE CRISTINA HASSELMANN,1978-01-29,301731.54999999993,25636.1,21173.13,72944.98,50332.77,44859.38,25702.26,16939.86,18265.67,20711.16,5166.24,0.0,,1031958.4100000001,99430.88,106641.61,98487.95,101062.57,108786.73,110597.86,108539.98,102509.19,97950.82,97950.82,,,87,5,0,57,6,3,33763.0
feminino,JOENIA BATISTA DE CARVALHO,1973-04-20,407650.81,36130.43,59868.3,85352.21,48106.28,35824.32,43428.93,39248.21,28261.77,13771.27,16656.8,1002.29,,928898.3200000002,91545.36,93767.62,92129.06,80310.66,79164.66,97275.18,102548.82,99850.5,95697.66,96608.8,,,83,9,0,98,27,15,33763.0
feminino,LAURIETE RODRIGUES DE JESUS,1970-02-23,275072.63,28596.39,36787.02,28706.65,38112.66,49288.05,30104.05,18543.11,15764.41,15009.24,7961.74,6199.31,,1078709.33,104287.85,105889.29,107644.06,107644.06,107976.91,100506.22,110346.11,111471.61,111471.61,111471.61,,,89,3,0,48,4,2,33763.0
feminino,LEANDRE DAL PONTE,1975-12-20,364015.43999999994,30663.14,49384.33,39707.22,42738.34,55109.67,32174.71,34082.73,28823.07,17999.54,31319.22,2013.47,,1099930.9,108159.67,108159.67,109633.48,109791.39,109791.39,110801.97,109549.18,111428.41,111307.87,111307.87,,,80,12,2,31,27,23,33763.0
feminino,LEDA MARIA SADALA BRITO,1966-06-11,359497.14,32892.4,30026.99,55796.31,53049.21,51266.85,41748.71,31911.86,37292.55,15145.93,10021.33,345.0,,1101943.1600000001,111429.13,111306.3,109662.6,107931.96,110017.93,110446.45,110633.94,109994.1,111659.63,108861.12,,,72,20,2,24,23,15,33763.0
feminino,LUISA CANZIANI DOS SANTOS SILVEIRA,1996-04-11,294512.99000000005,27680.49,45240.66,38296.02,34716.65,40742.27,35801.06,23760.78,18969.09,8973.68,13325.09,7007.2,,1065687.3800000001,111489.76,107944.29,101185.89,106123.31,110764.8,108871.95,100476.78,99154.41,109664.15,110012.04,,,82,10,10,18,48,48,33763.0
feminino,LÍDICE DA MATA E SOUZA,1956-03-12,314013.20999999996,24968.53,36055.08,41685.69,36945.93,64741.89,25591.94,29647.64,17038.04,9156.67,25337.58,2844.22,,1097526.02,105717.75,109880.24,107918.25,107472.66,111089.52,111089.52,111089.52,111089.52,111089.52,111089.52,,,89,3,0,56,4,0,33763.0
feminino,LIZIANE BAYER DA COSTA,1981-01-24,432476.73,24410.68,44680.51,52608.27,52869.92,60599.67,33727.59,34144.01,32890.25,31283.06,49719.23,15543.54,,1059539.96,109492.14,104592.92,102932.25,102694.3,104044.41,103593.63,105180.1,107815.81,109597.2,109597.2,,,92,0,0,54,19,18,33763.0
masculino,FERNANDO MONTEIRO DE ALBUQUERQUE,1976-09-17,320877.6499999999,33166.59,36756.35,50815.63,46090.78,35207.06,35106.58,33522.18,12348.74,7355.49,29824.28,683.97,,1095114.7,111665.62,111462.42,111451.57,108833.71,111665.62,111665.62,111665.62,110146.43,102361.66,104196.43,,,87,5,0,17,7,3,33763.0
